ID,app_ID,requiredSystem_ID
ef8c67aa-ad01-4f16-a848-9e7065aa29d5,3,2244d9e8-68cb-4260-9a9d-85132683638d
c38f89ef-55d5-4ac7-baff-9965167e9f4a,14,4c6ca970-dc09-43d2-9ae8-5b165fab8f32
795b7a2d-6fa7-4b81-878d-cc3fccef14fd,3,d5a589ad-dc32-4f03-949e-355f7e913992
1b3bb9c6-0442-4fe4-bb1f-61c427b03035,12,bcd96068-4171-40da-8faa-83a1253684ad
eace3bb9-d7ee-41dc-ae3c-8afa696c34ee,15,c0d66fa5-e09e-4629-b991-2ddeac36e935
ff556c81-ee57-4d12-87d2-8b0017dec7dc,3,0c120508-333a-45f5-a9fc-14b108f102ea
2dd888b7-adbc-4652-b429-a059cce8b08f,1,5b118fcf-0260-427a-a21b-54886ac16b4a
852ef776-1772-49a4-807e-a378fcc3b9c8,1,04baa714-0f68-4c80-9bbe-bf771e2f79de
157bb77d-d1fc-4f7e-991a-981cde7abda3,16,5aaa5c89-a967-4eca-b8ee-b04e68acbe64
65d36262-a106-4f24-abda-c208fbd67ba0,4,c1cc4319-e45f-433d-ae13-f38c99731af0
8afd88c5-0eb3-4ab3-a19c-53b1bf5736a1,1,f41a6886-9ac7-4821-9d35-f77cfd0c5273
1e065542-2330-4d8c-bb11-f9bfcb171d37,1,ec4ff017-9ae8-472f-8467-45c9ea78f146
11bebea9-4faf-4893-95ea-bf171e3c8964,7,755f7a24-ea7b-41f1-882d-7bcc6e58a9c4
f6607103-a3e2-4718-8121-66a2feded205,9,ed22ea7f-9379-4288-a579-c95b78ecc9fe
1a9e873c-3ab3-45a7-831e-33fa9b85e5bf,11,5bf8cdda-fcbb-4d0f-b9ca-e70e9148b49a
c7c4659e-a99e-4598-a353-75117b0558a9,1,c00e423a-99e9-43cd-b844-968af0854a4a
e352350a-f3c2-4c1e-b631-ea8544480a7f,4,dd6c55af-07ea-4373-86d2-33d8415580d6
0b6a73ab-5228-4100-99a5-b75be8948780,8,d371946d-9b8b-4d52-be7d-e4e47e8f5f9e
4cebf106-3c55-49be-ae3f-4e0f8f2ef9b5,11,91115d41-5350-4353-91c9-9e9bcf5f5424
964c2244-5421-4614-97a8-589f281118e8,11,d4f47aff-a1a2-474a-a8b7-0fc6b7dce156